address	type	payment	hash	paid
KT1CsKsmqVWmnFSiQkZt5c3pgMbzYX2okWvi	D	29.920787	opPrrg5FiK7EN65X8gbg4q8nVPpyPFTWM8cWEwecZARAsipGtuL	1
KT1VFrVbFaK9YUy8ZDj49XmFkB3ZwvZeZTqi	D	27.885169	opPrrg5FiK7EN65X8gbg4q8nVPpyPFTWM8cWEwecZARAsipGtuL	1
KT1QRZLh2kavAJdrQ6TjdhBgjpwKMRfwCBmQ	D	27.568392	opPrrg5FiK7EN65X8gbg4q8nVPpyPFTWM8cWEwecZARAsipGtuL	1
KT1RjnyZEotaT7Ke8JfNDFuAAxJnUwAoM4jQ	D	22.562279	opPrrg5FiK7EN65X8gbg4q8nVPpyPFTWM8cWEwecZARAsipGtuL	1
KT1AMpmvFEN2hvYv667L4Qa9nUHAdZeaHRZL	D	21.485093	opPrrg5FiK7EN65X8gbg4q8nVPpyPFTWM8cWEwecZARAsipGtuL	1
KT1Wi4jszErHWNfcW8AYQ57MTWuJhCNXooVQ	D	18.543620	opPrrg5FiK7EN65X8gbg4q8nVPpyPFTWM8cWEwecZARAsipGtuL	1
KT1Pxwz2tHn3SxHxtSbQohYtDs5nfkVBpRLP	D	17.291519	opPrrg5FiK7EN65X8gbg4q8nVPpyPFTWM8cWEwecZARAsipGtuL	1
KT1TvPrrqTSFXnqiJJwRntALbN7AjJeiq143	D	16.877873	opPrrg5FiK7EN65X8gbg4q8nVPpyPFTWM8cWEwecZARAsipGtuL	1
KT1NtD8s6rSCi62Cf5w8NbGU5NMFc3YXTbLW	D	16.700749	opPrrg5FiK7EN65X8gbg4q8nVPpyPFTWM8cWEwecZARAsipGtuL	1
KT1GADSzdPnCVwjaLithz3kQoaMxdgcdiRsB	D	16.460340	opPrrg5FiK7EN65X8gbg4q8nVPpyPFTWM8cWEwecZARAsipGtuL	1
KT1Wtehz9zG7Dtq1iteYZpjAruMULB3pRM94	D	13.389244	opPrrg5FiK7EN65X8gbg4q8nVPpyPFTWM8cWEwecZARAsipGtuL	1
